"contig","gene_name","Entrez_id","pN_mc","pS_mc","pN_pipra","pS_pipra","pN_all","pS_all","dN_orig","dS_orig","pN","pS","dN","dS","pN.pS","dN.dS","alpha","NeutralityIndex","fisher.test.P","fisher.test.Padj"
"NW_021940864.1","YIPF3","103765817",1,0,0,0,0,0,0,0,1,0,0,0,Inf,NA,NA,NA,NA,NA
"NW_021940864.1","LRRC73","103765849",0,1,0,2,0,0,0,2,0,3,0,2,0,0,NA,NA,NA,NA
"NW_021940864.1","TJAP1","103765816",0,4,1,2,0,0,0,3,1,6,0,3,0.166666666666667,0,-Inf,Inf,1,1
"NW_021940864.1","DLK2","103765815",0,1,1,0,0,0,3,5,1,1,3,5,1,0.6,-0.666666666666667,1.66666666666667,1,1
"NW_021940864.1","ABCC10","103765814",8,8,3,4,0,0,11,13,11,12,11,13,0.916666666666667,0.846153846153846,-0.0833333333333333,1.08333333333333,1,1
"NW_021940864.1","ZNF318","108641766",10,17,2,3,0,0,11,17,12,20,11,17,0.6,0.647058823529412,0.0727272727272728,0.927272727272727,1,1
"NW_021940864.1","FAM98A","103765847",1,1,1,1,0,0,4,5,2,2,4,5,1,0.8,-0.25,1.25,1,1
"NW_021940864.1","RASGRP3","103765813",0,3,0,2,0,0,1,7,0,5,1,7,0,0.142857142857143,1,0,1,1
"NW_021940864.1","LTBP1","103765812",1,6,0,3,0,0,2,17,1,9,2,17,0.111111111111111,0.117647058823529,0.0555555555555556,0.944444444444444,1,1
"NW_021940864.1","TTC27","103765846",8,5,2,2,0,1,2,5,10,8,2,5,1.25,0.4,-2.125,3.125,0.378260869565217,1
"NW_021940864.1","BIRC6","103765845",6,33,2,13,0,0,4,49,8,46,4,49,0.173913043478261,0.0816326530612245,-1.1304347826087,2.1304347826087,0.359109228524181,1
"NW_021940864.1","YIPF4","103765844",0,2,0,0,0,0,0,3,0,2,0,3,0,0,NA,NA,NA,NA
"NW_021940864.1","CDC42EP3","103765810",0,3,1,3,0,0,0,3,1,6,0,3,0.166666666666667,0,-Inf,Inf,1,1
"NW_021940864.1","RMDN2","103765809",1,5,1,1,0,0,7,8,2,6,7,8,0.333333333333333,0.875,0.619047619047619,0.380952380952381,0.399784627809934,1
"NW_021940864.1","LOC103765843","103765843",0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
"NW_021940864.1","NANP","108641767",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021940864.1","EIF2AK2","103765807",0,5,4,1,0,0,19,4,4,6,19,4,0.666666666666667,4.75,0.859649122807018,0.140350877192982,0.0348716047269996,1
"NW_021940864.1","GPATCH11","103765806",0,4,1,1,0,0,1,2,1,5,1,2,0.2,0.5,0.6,0.4,1,1
"NW_021940864.1","HEATR5B","103765805",3,26,1,4,0,0,1,16,4,30,1,16,0.133333333333333,0.0625,-1.13333333333333,2.13333333333333,0.653553336228108,1
"NW_021940864.1","STRN","103765804",0,3,0,2,0,0,0,4,0,5,0,4,0,0,NA,NA,NA,NA
"NW_021940864.1","VIT","103765803",3,14,3,1,0,0,3,4,6,15,3,4,0.4,0.75,0.466666666666667,0.533333333333333,0.646457889936151,1
"NW_021940864.1","LOC103765802","103765802",0,0,0,1,0,0,0,2,0,1,0,2,0,0,NA,NA,NA,NA
"NW_021940864.1","FEZ2","103765842",1,3,1,1,0,0,3,0,2,4,3,0,0.5,Inf,1,0,0.166666666666667,1
"NW_021940864.1","CRIM1","103765841",2,6,0,1,0,0,1,9,2,7,1,9,0.285714285714286,0.111111111111111,-1.57142857142857,2.57142857142857,0.582043343653251,1
"NW_021940864.1","LOC115308017","115308017",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021940864.1","SULT6B1","103765838",4,1,2,1,0,0,7,6,6,2,7,6,3,1.16666666666667,-1.57142857142857,2.57142857142857,0.399862401100791,1
"NW_021940864.1","CEBPZ","103765837",3,8,0,0,0,0,5,8,3,8,5,8,0.375,0.625,0.4,0.6,0.67918517521425,1
"NW_021940864.1","NDUFAF7","103765836",3,3,2,1,0,0,1,5,5,4,1,5,1.25,0.2,-5.25,6.25,0.286713286713287,1
"NW_021940864.1","PRKD3","103765835",0,7,0,2,0,0,1,3,0,9,1,3,0,0.333333333333333,1,0,0.307692307692308,1
"NW_021940864.1","QPCT","103765801",2,7,2,3,0,0,1,2,4,10,1,2,0.4,0.5,0.2,0.8,1,1
"NW_021940864.1","SLC30A6","103765834",1,3,0,3,0,0,0,3,1,6,0,3,0.166666666666667,0,-Inf,Inf,1,1
"NW_021940864.1","SPAST","103765800",0,2,0,0,0,0,1,4,0,2,1,4,0,0.25,1,0,1,1
"NW_021940864.1","DPY30","103763076",0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
"NW_021940864.1","MEMO1","103763083",2,1,0,0,0,0,0,1,2,1,0,1,2,0,-Inf,Inf,1,1
"NW_021940864.1","SRD5A2","103763082",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021940864.1","LOC103763081","103763081",7,11,3,0,0,0,26,16,10,11,26,16,0.909090909090909,1.625,0.440559440559441,0.559440559440559,0.296281376376689,1
"NW_021940864.1","LOC103763080","103763080",2,3,0,2,0,0,0,0,2,5,0,0,0.4,NA,NA,NA,NA,NA
"NW_021940864.1","SCCPDH","103763079",0,3,1,0,0,0,1,3,1,3,1,3,0.333333333333333,0.333333333333333,0,1,1,1
"NW_021940864.1","CNST","103763075",3,5,0,3,0,0,4,4,3,8,4,4,0.375,1,0.625,0.375,0.376518218623482,1
"NW_021940864.1","TFB2M","103763077",0,0,0,1,0,0,2,4,0,1,2,4,0,0.5,1,0,1,1
"NW_021940864.1","SMYD3","103763315",3,3,0,0,0,0,1,5,3,3,1,5,1,0.2,-4,5,0.545454545454546,1
"NW_021940864.1","KIF26B","103763314",11,12,2,2,0,0,8,22,13,14,8,22,0.928571428571429,0.363636363636364,-1.55357142857143,2.55357142857143,0.108187486853236,1
"NW_021940864.1","EFCAB2","103763313",1,0,1,0,0,0,4,2,2,0,4,2,Inf,2,-Inf,Inf,1,1
"NW_021940864.1","HNRNPU","103763312",1,2,0,1,0,0,0,5,1,3,0,5,0.333333333333333,0,-Inf,Inf,0.444444444444444,1
"NW_021940864.1","LOC103763311","103763311",1,1,0,0,0,0,3,2,1,1,3,2,1,1.5,0.333333333333333,0.666666666666667,1,1
"NW_021940864.1","DESI2","103763309",0,1,0,1,0,0,1,1,0,2,1,1,0,1,1,0,1,1
"NW_021940864.1","ADSS2","103763310",2,2,0,1,0,0,0,1,2,3,0,1,0.666666666666667,0,-Inf,Inf,1,1
"NW_021940864.1","ZBTB18","103758199",1,0,0,1,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA
"NW_021940864.1","AKT3","103757323",0,0,0,0,0,0,0,5,0,0,0,5,NA,0,NA,NA,NA,NA
"NW_021940864.1","LOC103757322","103757322",0,5,0,0,0,0,1,4,0,5,1,4,0,0.25,1,0,1,1
"NW_021940864.1","LOC112841350","112841350",0,0,0,0,0,0,2,1,0,0,2,1,NA,2,NA,NA,NA,NA
"NW_021940864.1","CEP170","103757317",8,11,0,5,0,1,3,12,8,17,3,12,0.470588235294118,0.25,-0.882352941176471,1.88235294117647,0.486120745733249,1
"NW_021940864.1","PLD5","103757315",0,1,0,1,0,0,5,3,0,2,5,3,0,1.66666666666667,1,0,0.444444444444445,1
"NW_021940864.1","LOC108641804","108641804",2,1,2,1,0,0,15,5,4,2,15,5,2,3,0.333333333333333,0.666666666666667,1,1
"NW_021940864.1","MAP1LC3C","103757314",0,1,1,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA
"NW_021940864.1","EXO1","103757321",7,3,4,2,0,0,4,8,11,5,4,8,2.2,0.5,-3.4,4.4,0.124817157984475,1
"NW_021940864.1","LOC108641797","108641797",4,0,0,2,0,0,2,4,4,2,2,4,2,0.5,-3,4,0.567099567099567,1
"NW_021940864.1","WDR64","103757320",10,6,1,0,0,0,12,8,11,6,12,8,1.83333333333333,1.5,-0.222222222222222,1.22222222222222,1,1
"NW_021940864.1","OPN3","103757319",1,2,0,0,0,0,0,3,1,2,0,3,0.5,0,-Inf,Inf,1,1
"NW_021940864.1","PIGM","103765324",1,4,0,1,0,0,0,0,1,5,0,0,0.2,NA,NA,NA,NA,NA
"NW_021940864.1","RGS7","103757313",2,4,0,0,0,0,1,3,2,4,1,3,0.5,0.333333333333333,-0.5,1.5,1,1
"NW_021940864.1","GREM2","103757312",0,0,0,1,0,0,0,2,0,1,0,2,0,0,NA,NA,NA,NA
"NW_021940864.1","FMN2","103757318",8,4,3,2,0,0,8,9,11,6,8,9,1.83333333333333,0.888888888888889,-1.0625,2.0625,0.490528929083846,1
"NW_021940864.1","CHRM3","103757311",2,10,0,1,0,0,3,7,2,11,3,7,0.181818181818182,0.428571428571429,0.575757575757576,0.424242424242424,0.617522066034652,1
"NW_021940864.1","RYR2","103754347",5,34,2,16,0,0,7,38,7,50,7,38,0.14,0.184210526315789,0.24,0.76,0.773640401044992,1
"NW_021940864.1","MTR","103754348",1,7,3,2,0,0,3,7,4,9,3,7,0.444444444444444,0.428571428571429,-0.037037037037037,1.03703703703704,1,1
"NW_021940864.1","ACTN2","103754335",1,8,0,1,0,0,0,9,1,9,0,9,0.111111111111111,0,-Inf,Inf,1,1
"NW_021940864.1","HEATR1","103754349",15,20,3,3,0,0,10,19,18,23,10,19,0.782608695652174,0.526315789473684,-0.486956521739131,1.48695652173913,0.467210294665874,1
"NW_021940864.1","LGALS8","103754350",2,1,0,1,0,0,0,1,2,2,0,1,1,0,-Inf,Inf,1,1
"NW_021940864.1","EDARADD","103754351",5,2,2,0,0,0,5,3,7,2,5,3,3.5,1.66666666666667,-1.1,2.1,0.619909502262443,1
"NW_021940864.1","ERO1B","103754352",0,5,0,0,0,0,1,5,0,5,1,5,0,0.2,1,0,1,1
"NW_021940864.1","GPR137B","103754336",1,6,0,1,0,0,2,0,1,7,2,0,0.142857142857143,Inf,1,0,0.0666666666666666,1
"NW_021940864.1","NID1","103754353",18,17,4,2,0,0,6,7,22,19,6,7,1.15789473684211,0.857142857142857,-0.350877192982456,1.35087719298246,0.754008836083237,1
"NW_021940864.1","LOC108641772","108641772",3,3,0,1,0,0,1,4,3,4,1,4,0.75,0.25,-2,3,0.575757575757576,1
"NW_021940867.1","LOC112841340","112841340",0,0,0,0,1,0,0,1,1,0,0,1,Inf,0,-Inf,Inf,1,1
"NW_021940867.1","DYRK4","103763508",2,3,1,3,0,0,1,0,3,6,1,0,0.5,Inf,1,0,0.4,1
"NW_021940867.1","RAD51AP1","103763518",2,0,2,1,0,0,3,0,4,1,3,0,4,Inf,1,0,1,1
"NW_021940867.1","CUNH12orf4","103763510",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021940867.1","FGF6","103763511",0,0,0,0,0,0,1,0,0,0,1,0,NA,Inf,NA,NA,NA,NA
"NW_021940867.1","FGF23","103763519",3,3,0,1,0,0,1,3,3,4,1,3,0.75,0.333333333333333,-1.25,2.25,1,1
"NW_021940867.1","TIGAR","103763512",5,1,0,1,0,0,4,2,5,2,4,2,2.5,2,-0.25,1.25,1,1
"NW_021940867.1","LOC115308022","115308022",1,1,0,0,0,0,4,0,1,1,4,0,1,Inf,1,0,0.333333333333333,1
"NW_021940867.1","CCND2","103763513",0,0,0,0,0,0,1,1,0,0,1,1,NA,1,NA,NA,NA,NA
"NW_021940867.1","NDUFA9","103763514",1,5,0,2,0,0,1,5,1,7,1,5,0.142857142857143,0.2,0.285714285714286,0.714285714285714,1,1
"NW_021940867.1","LOC103763521","103763521",1,0,0,1,0,0,0,2,1,1,0,2,1,0,-Inf,Inf,1,1
"NW_021940867.1","LOC103763515","103763515",0,1,0,0,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA
"NW_021940867.1","LOC103763516","103763516",4,0,0,0,0,0,6,5,4,0,6,5,Inf,1.2,-Inf,Inf,0.230769230769231,1
"NW_021940867.1","LOC112840945","112840945",1,2,0,2,0,0,1,2,1,4,1,2,0.25,0.5,0.5,0.5,1,1
"NW_021940867.1","NTF3","103763517",0,1,1,4,0,0,1,2,1,5,1,2,0.2,0.5,0.6,0.4,1,1
"NW_021940867.1","ANO2","103763523",1,8,0,1,0,0,7,10,1,9,7,10,0.111111111111111,0.7,0.841269841269841,0.158730158730159,0.18954089388872,1
"NW_021940867.1","VWF","103757391",16,39,7,17,0,1,12,28,23,57,12,28,0.403508771929825,0.428571428571429,0.0584795321637427,0.941520467836257,1,1
"NW_021940867.1","CD9","103757390",0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
"NW_021940867.1","LOC108641993","108641993",2,2,1,0,0,0,2,1,3,2,2,1,1.5,2,0.25,0.75,1,1
"NW_021940867.1","ARHGEF5","103762764",21,18,1,3,0,0,18,17,22,21,18,17,1.04761904761905,1.05882352941176,0.0105820105820106,0.989417989417989,1,1
"NW_021940867.1","LOC103762763","103762763",5,3,1,0,0,0,5,6,6,3,5,6,2,0.833333333333333,-1.4,2.4,0.405858537747083,1
"NW_021940867.1","LOC103760001","103760001",0,2,0,0,0,0,0,2,0,2,0,2,0,0,NA,NA,NA,NA
"NW_021940873.1","HDAC11","103761818",1,2,0,1,0,0,0,4,1,3,0,4,0.333333333333333,0,-Inf,Inf,1,1
"NW_021940873.1","NUP210","103761833",19,26,4,6,0,0,11,20,23,32,11,20,0.71875,0.55,-0.306818181818182,1.30681818181818,0.648919713464098,1
"NW_021940873.1","IQSEC1","103761832",0,5,1,2,0,0,1,9,1,7,1,9,0.142857142857143,0.111111111111111,-0.285714285714286,1.28571428571429,1,1
"NW_021940873.1","ACAD9","103761830",1,5,0,0,0,0,1,7,1,5,1,7,0.2,0.142857142857143,-0.4,1.4,1,1
"NW_021940873.1","EFCC1","103761829",3,7,0,0,0,0,2,2,3,7,2,2,0.428571428571429,1,0.571428571428571,0.428571428571429,0.580419580419581,1
"NW_021940873.1","GP9","103761828",4,2,0,0,0,0,7,3,4,2,7,3,2,2.33333333333333,0.142857142857143,0.857142857142857,1,1
"NW_021940873.1","RAB43","103761827",2,2,1,1,0,0,3,0,3,3,3,0,1,Inf,1,0,0.464285714285714,1
"NW_021940873.1","LOC103761826","103761826",5,6,0,0,0,0,6,5,5,6,6,5,0.833333333333333,1.2,0.305555555555556,0.694444444444445,1,1
"NW_021940873.1","ISY1","103761825",0,5,0,0,0,0,0,3,0,5,0,3,0,0,NA,NA,NA,NA
"NW_021940873.1","CNBP","103761817",0,0,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
"NW_021940873.1","RAF1","103761816",1,1,0,0,0,0,2,3,1,1,2,3,1,0.666666666666667,-0.5,1.5,1,1
"NW_021940873.1","MKRN2","103761824",3,2,0,0,0,0,0,7,3,2,0,7,1.5,0,-Inf,Inf,0.0454545454545455,1
"NW_021940873.1","MKRN2OS","103761821",1,0,0,0,0,0,1,1,1,0,1,1,Inf,1,-Inf,Inf,1,1
"NW_021940873.1","TSEN2","103761815",0,0,0,0,0,0,1,2,0,0,1,2,NA,0.5,NA,NA,NA,NA
"NW_021940873.1","PPARG","103761814",1,2,1,2,0,0,4,7,2,4,4,7,0.5,0.571428571428571,0.125,0.875,1,1
"NW_021940873.1","SYN2","103761820",1,0,0,0,0,0,3,2,1,0,3,2,Inf,1.5,-Inf,Inf,1,1
"NW_021940873.1","TIMP4","103761812",0,1,0,0,0,0,1,4,0,1,1,4,0,0.25,1,0,1,1
"NW_021940873.1","TAMM41","103761811",2,0,0,0,0,0,2,2,2,0,2,2,Inf,1,-Inf,Inf,0.466666666666667,1
"NW_021940873.1","VGLL4","103761809",0,0,0,0,0,0,1,4,0,0,1,4,NA,0.25,NA,NA,NA,NA
"NW_021940873.1","ATG7","103761819",0,1,0,0,0,0,6,12,0,1,6,12,0,0.5,1,0,1,1
"NW_021940873.1","HRH1","103761808",0,1,0,0,0,0,9,10,0,1,9,10,0,0.9,1,0,1,1
"NW_021940877.1","LOC115308025","115308025",4,11,2,2,0,2,0,3,6,15,0,3,0.4,0,-Inf,Inf,0.546442687747036,1
"NW_021940877.1","LOC115308028","115308028",2,4,1,0,0,0,0,3,3,4,0,3,0.75,0,-Inf,Inf,0.475,1
"NW_021940877.1","USP48","103760797",0,6,1,3,0,0,1,2,1,9,1,2,0.111111111111111,0.5,0.777777777777778,0.222222222222222,0.423076923076923,1
"NW_021940877.1","ALPL","103760795",0,2,0,1,0,0,0,1,0,3,0,1,0,0,NA,NA,NA,NA
"NW_021940877.1","ECE1","103760757",0,9,0,4,0,0,0,3,0,13,0,3,0,0,NA,NA,NA,NA
"NW_021940877.1","EIF4G3","103760794",0,12,0,4,0,1,4,7,0,17,4,7,0,0.571428571428571,1,0,0.0161172161172161,1
"NW_021940877.1","HP1BP3","103760756",1,3,0,1,0,0,1,3,1,4,1,3,0.25,0.333333333333333,0.25,0.75,1,1
"NW_021940877.1","DDOST","103760793",0,5,0,2,0,0,2,3,0,7,2,3,0,0.666666666666667,1,0,0.151515151515152,1
"NW_021940877.1","DDI2","103760792",12,10,8,1,0,0,12,18,20,11,12,18,1.81818181818182,0.666666666666667,-1.72727272727273,2.72727272727273,0.074433350966129,1
"NW_021940877.1","PLEKHM2","103760790",4,16,2,3,0,0,4,9,6,19,4,9,0.315789473684211,0.444444444444444,0.289473684210526,0.710526315789474,0.709180488477747,1
"NW_021940877.1","SLC25A34","108642957",1,2,0,1,0,0,0,2,1,3,0,2,0.333333333333333,0,-Inf,Inf,1,1
"NW_021940877.1","TMEM82","108642958",3,4,2,0,0,0,3,0,5,4,3,0,1.25,Inf,1,0,0.490909090909091,1
"NW_021940877.1","FBLIM1","103760789",8,8,0,4,0,0,2,5,8,12,2,5,0.666666666666667,0.4,-0.666666666666667,1.66666666666667,0.678389243606635,1
"NW_021940877.1","SPEN","103760788",9,34,3,7,0,0,14,27,12,41,14,27,0.292682926829268,0.518518518518518,0.435540069686411,0.564459930313589,0.250140228034787,1
"NW_021940877.1","LOC115308026","115308026",3,10,0,2,0,1,1,2,3,13,1,2,0.230769230769231,0.5,0.538461538461538,0.461538461538462,0.530443756449948,1
"NW_021940877.1","ZBTB17","103760787",2,8,3,4,0,1,3,7,5,13,3,7,0.384615384615385,0.428571428571429,0.102564102564103,0.897435897435897,1,1
"NW_021940877.1","HSPB7","103760786",1,1,0,2,0,0,1,3,1,3,1,3,0.333333333333333,0.333333333333333,0,1,1,1
"NW_021940877.1","LOC103760784","103760784",1,1,0,0,0,0,1,3,1,1,1,3,1,0.333333333333333,-2,3,1,1
"NW_021940877.1","EPHA2","103760783",0,6,0,1,0,0,1,2,0,7,1,2,0,0.5,1,0,0.3,1
"NW_021940877.1","FBXO42","103760782",1,2,0,1,0,0,0,2,1,3,0,2,0.333333333333333,0,-Inf,Inf,1,1
"NW_021940877.1","SZRD1","115307096",2,1,0,0,0,0,1,1,2,1,1,1,2,1,-1,2,1,1
"NW_021940877.1","NECAP2","103760781",2,5,0,0,0,1,0,4,2,6,0,4,0.333333333333333,0,-Inf,Inf,0.515151515151515,1
"NW_021940877.1","ATP13A2","103760780",9,9,2,1,0,0,3,17,11,10,3,17,1.1,0.176470588235294,-5.23333333333333,6.23333333333333,0.0202506557128224,1
"NW_021940877.1","SDHB","103760779",0,2,0,0,0,0,0,1,0,2,0,1,0,0,NA,NA,NA,NA
"NW_021940877.1","PADI2","103760778",3,5,0,4,0,0,1,13,3,9,1,13,0.333333333333333,0.0769230769230769,-3.33333333333333,4.33333333333333,0.306086956521739,1
"NW_021940877.1","LOC103760755","103760755",3,2,0,3,0,1,0,2,3,6,0,2,0.5,0,-Inf,Inf,1,1
"NW_021940877.1","LOC103760777","103760777",1,8,0,2,0,1,2,9,1,11,2,9,0.0909090909090909,0.222222222222222,0.590909090909091,0.409090909090909,0.590062111801242,1
"NW_021940877.1","RCC2","103760776",0,1,0,1,0,0,0,3,0,2,0,3,0,0,NA,NA,NA,NA
"NW_021940877.1","ARHGEF10L","103760774",1,4,1,1,0,0,1,1,2,5,1,1,0.4,1,0.6,0.4,1,1
"NW_021940877.1","IGSF21","103760773",1,3,1,3,0,0,1,8,2,6,1,8,0.333333333333333,0.125,-1.66666666666667,2.66666666666667,0.576470588235294,1
"NW_021940877.1","KLHDC7A","108642012",9,6,0,1,0,0,15,9,9,7,15,9,1.28571428571429,1.66666666666667,0.228571428571429,0.771428571428571,0.750115944643197,1
"NW_021940877.1","PAX7","103760771",0,3,0,0,0,0,0,3,0,3,0,3,0,0,NA,NA,NA,NA
"NW_021940877.1","LOC108642023","108642023",0,0,0,0,0,0,1,2,0,0,1,2,NA,0.5,NA,NA,NA,NA
"NW_021940877.1","ALDH4A1","103760770",0,3,0,2,0,0,5,5,0,5,5,5,0,1,1,0,0.100899100899101,1
"NW_021940877.1","IFFO2","103760769",1,3,0,0,0,0,0,3,1,3,0,3,0.333333333333333,0,-Inf,Inf,1,1
"NW_021940877.1","UBR4","103760768",6,15,2,7,0,2,8,57,8,24,8,57,0.333333333333333,0.140350877192982,-1.375,2.375,0.147171564961767,1
"NW_021940877.1","EMC1","103760767",5,0,1,2,0,0,2,10,6,2,2,10,3,0.2,-14,15,0.0193696911963166,1
"NW_021940877.1","MRTO4","103760754",2,0,0,0,0,0,1,4,2,0,1,4,Inf,0.25,-Inf,Inf,0.142857142857143,1
"NW_021940877.1","AKR7A2","103760766",0,0,1,1,0,0,1,3,1,1,1,3,1,0.333333333333333,-2,3,1,1
"NW_021940877.1","SLC66A1","103760752",3,2,0,1,0,0,2,3,3,3,2,3,1,0.666666666666667,-0.5,1.5,1,1
"NW_021940877.1","CAPZB","103760751",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021940877.1","LOC103760763","103760763",1,1,0,1,0,0,1,2,1,2,1,2,0.5,0.5,0,1,1,1
"NW_021940877.1","HTR6","103760750",5,2,0,1,0,0,2,5,5,3,2,5,1.66666666666667,0.4,-3.16666666666667,4.16666666666667,0.314685314685315,1
"NW_021940877.1","TMCO4","103760762",1,1,1,2,0,0,7,10,2,3,7,10,0.666666666666667,0.7,0.0476190476190477,0.952380952380952,1,1
"NW_021940877.1","RNF186","103760761",1,1,0,0,0,0,2,3,1,1,2,3,1,0.666666666666667,-0.5,1.5,1,1
"NW_021940877.1","OTUD3","103760749",1,2,0,0,0,0,2,0,1,2,2,0,0.5,Inf,1,0,0.4,1
"NW_021940877.1","LOC103760760","103760760",3,1,1,1,0,0,3,0,4,2,3,0,2,Inf,1,0,0.5,1
"NW_021940877.1","LOC108642020","108642020",0,0,0,0,0,0,1,0,0,0,1,0,NA,Inf,NA,NA,NA,NA
"NW_021940877.1","LOC103760759","103760759",0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
"NW_021940877.1","LOC103760748","103760748",0,0,0,0,0,0,0,3,0,0,0,3,NA,0,NA,NA,NA,NA
"NW_021940877.1","UBXN10","103760747",0,1,3,0,0,0,3,1,3,1,3,1,3,3,0,1,1,1
"NW_021940877.1","LOC103760746","103760746",0,0,0,0,0,0,1,3,0,0,1,3,NA,0.333333333333333,NA,NA,NA,NA
"NW_021940884.1","GFER","103761601",1,2,0,1,0,0,0,3,1,3,0,3,0.333333333333333,0,-Inf,Inf,1,1
"NW_021940884.1","SYNGR3","103761602",2,1,0,0,0,0,2,0,2,1,2,0,2,Inf,1,0,1,1
"NW_021940884.1","ZNF598","103761604",3,9,1,3,0,1,2,10,4,13,2,10,0.307692307692308,0.2,-0.538461538461539,1.53846153846154,1,1
"NW_021940884.1","SLC9A3R2","103761605",1,7,0,1,0,0,1,5,1,8,1,5,0.125,0.2,0.375,0.625,1,1
"NW_021940884.1","NTHL1","103761606",1,3,0,0,0,0,1,4,1,3,1,4,0.333333333333333,0.25,-0.333333333333333,1.33333333333333,1,1
"NW_021940884.1","TSC2","103761607",8,21,1,5,0,0,4,24,9,26,4,24,0.346153846153846,0.166666666666667,-1.07692307692308,2.07692307692308,0.353448454260881,1
"NW_021940884.1","PKD1","103761609",31,59,4,14,0,1,20,30,35,74,20,30,0.472972972972973,0.666666666666667,0.290540540540541,0.709459459459459,0.371356018123684,1
"NW_021940884.1","RAB26","103761481",0,2,0,1,0,0,1,0,0,3,1,0,0,Inf,1,0,0.25,1
"NW_021940884.1","TRAF7","103761610",1,9,0,1,0,0,0,5,1,10,0,5,0.1,0,-Inf,Inf,1,1
"NW_021940884.1","LOC103761611","103761611",4,9,2,2,0,0,3,8,6,11,3,8,0.545454545454545,0.375,-0.454545454545455,1.45454545454545,1,1
"NW_021940884.1","MLST8","103761612",1,2,0,1,0,0,2,3,1,3,2,3,0.333333333333333,0.666666666666667,0.5,0.5,1,1
"NW_021940884.1","BRICD5","103761613",1,0,0,1,0,0,4,4,1,1,4,4,1,1,0,1,1,1
"NW_021940884.1","PGP","108642036",1,1,0,0,0,0,0,2,1,1,0,2,1,0,-Inf,Inf,1,1
"NW_021940884.1","E4F1","103761614",7,8,0,1,0,0,2,11,7,9,2,11,0.777777777777778,0.181818181818182,-3.27777777777778,4.27777777777778,0.129635182408796,1
"NW_021940884.1","ZDHHC4","103761482",8,1,1,0,0,0,5,2,9,1,5,2,9,2.5,-2.6,3.6,0.536764705882353,1
"NW_021940884.1","GRID2IP","103761616",2,3,0,1,0,0,3,8,2,4,3,8,0.5,0.375,-0.333333333333333,1.33333333333333,1,1
"NW_021940884.1","SLC5A11","103761484",2,8,1,0,0,0,4,7,3,8,4,7,0.375,0.571428571428571,0.34375,0.65625,1,1
"NW_021940884.1","ARHGAP17","103761617",3,2,1,2,0,0,3,3,4,4,3,3,1,1,0,1,1,1
"NW_021940884.1","LCMT1","103761618",1,2,0,1,0,0,1,1,1,3,1,1,0.333333333333333,1,0.666666666666667,0.333333333333333,1,1
"NW_021940884.1","AQP8","103761619",1,0,0,1,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA
"NW_021940884.1","PRKCB","103761620",0,4,0,0,0,0,1,8,0,4,1,8,0,0.125,1,0,1,1
"NW_021940884.1","CACNG3","103761621",1,0,0,1,0,0,3,1,1,1,3,1,1,3,0.666666666666667,0.333333333333333,1,1
"NW_021940884.1","RBBP6","103761622",4,14,3,5,0,0,17,25,7,19,17,25,0.368421052631579,0.68,0.458204334365325,0.541795665634675,0.304115005308822,1
"NW_021940884.1","TNRC6A","103761485",4,4,0,4,0,0,0,1,4,8,0,1,0.5,0,-Inf,Inf,1,1
"NW_021940884.1","PALB2","103761623",7,4,2,1,0,0,19,14,9,5,19,14,1.8,1.35714285714286,-0.326315789473684,1.32631578947368,0.753166569738902,1
"NW_021940884.1","DCTN5","103761487",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021940884.1","PLK1","103761624",0,2,0,0,0,0,1,10,0,2,1,10,0,0.1,1,0,1,1
"NW_021940884.1","ERN2","103761625",5,8,0,0,0,0,9,14,5,8,9,14,0.625,0.642857142857143,0.0277777777777778,0.972222222222222,1,1
"NW_021940884.1","UBFD1","108642026",0,0,0,0,0,0,0,2,0,0,0,2,NA,0,NA,NA,NA,NA
"NW_021940884.1","EARS2","103761628",4,0,0,0,0,0,3,5,4,0,3,5,Inf,0.6,-Inf,Inf,0.0808080808080808,1
"NW_021940884.1","GGA2","103761629",2,3,2,0,0,0,2,1,4,3,2,1,1.33333333333333,2,0.333333333333333,0.666666666666667,1,1
"NW_021940884.1","COG7","103761630",1,6,0,1,0,0,0,12,1,7,0,12,0.142857142857143,0,-Inf,Inf,0.4,1
